num_debate,canal,username,fecha,comentario,num_likes
3,heraldoDeMexico,marinamerino5905,19/05/2024,"Ay Xóchitl,  que si Claudia bailaba ballet y ella trabajaba, eso que !!!  la señora pelea como la vecina envidiosa....por favor, que pobreza y falta de argumentos",85
3,heraldoDeMexico,bimexlandia4752,19/05/2024,Xóchitl no sabe de política cuando es su turno habla y dice lo que yo diría nada espera hasta que claudia hable para entender mejor el tema   Y así otra vez tirarle veneno  esa señora es de risa,30
3,heraldoDeMexico,bimexlandia4752,19/05/2024,Xóchitl no escucha bien con el chicharo  o está lejos la pantalla donde se dictan se lo escriben habla nerviosa no sabe ni qué dice,22
3,heraldoDeMexico,CarlosGarcia-sx9sm,19/05/2024,"Pobre del Partido al que pertenece la Sra. Xóchitl, sólo los está dejando ver en ridículo con su falta de conocimiento y  diplomacia al hablar. No soy partidista, soy mas de irme por quien hace las cosas bien. De verdad tendrían que ser muy huecos de su cabeza para votar por esta señora, no se sabe ni la historia del partido al que pertenece, que les hace pensar que conoce las necesidades del pueblo Mexicano.",13
3,heraldoDeMexico,imar6911,19/05/2024,"Miro a mi alrededor mirando objetivamente que ha mejorado realmente, se que no puede cambiar en un abrir y cerrar de ojos. Pero recordemos que se nos prometió. Me preguntó cómo vemos nuestras calles las banquetas y toda la infraestructura urbana de la ciudad de México. Ahora estoy en los 30 y no me alcanza mi salario ni imaginar cómo voy a comprar una casa.  Otra cosa se vienen las lluvias para que sirve tanta propaganda ojalá recojan tanta basura. Porque eso hará que se inunde nuestra ciudad.",13
3,heraldoDeMexico,marthadamianamores3540,19/05/2024,Estpy segura que la botarga lleva  chicharo,39
3,heraldoDeMexico,whojahbless1560,19/05/2024,Xochitl apuntando dedos sin pruebas y todas las pruebas en contra de Ella por favor Dos de junio llega ya ya no aguanto escuchagg a egsa señoga. Y para celebrar el triunfo de Claudia...,46
3,heraldoDeMexico,lety2522,19/05/2024,Chochil cuando daras propuestas?????  Tu prian da pena por 70 años robaron y squearon al país,48
3,heraldoDeMexico,victorhugocastillofuentes4620,19/05/2024,Está señora Xochitl está mal en todas sus encuestas y la verdad tener un presidente así de ignorante no porque en todo lo que dice está mal,36
3,heraldoDeMexico,mariaisabelsanchezrosado2409,19/05/2024,Ni loca votaré x la botarga,52
3,heraldoDeMexico,guadalupecastro1140,19/05/2024,Ya por favor que Xóchitl se dedique con todo respeto a su persona a su salud es joven para lucir tan descuidada ️,26
