num_debate,canal,username,fecha,comentario,num_likes
3,excelsior,user-vo6mu2nn5t,19/05/2024,"En mi humilde opinión!!! Yo sigo pensando que esos apoyos que se brindan a los adultos mayores están perfectos, ya que muchos de nosotros, dejamos a un lado a nuestros adultos y seamos honestos, a la edad de 60 quienes los quieren contratar? NADIE!!! Ahora si bien, yo tengo 30 años, y tengo la capacidad y la fuerza de seguir trabajando, algo que nuestros mayores ya no tienen,  acuérdense, cuando estábamos chicos nuestros mayores vieron por nosotros, ahora nos toca a nosotros ver por ellos 1 K",0
3,excelsior,elbetasinsertestter,19/05/2024,"resumen rapido del debate: xochil solo ataca a clauda sin dar propuestas ni contestar alas preguntas, y claudia se defiende y entre ratos da propuestas, y maynez solo sonrie y da propuestas manteniendo su postura seria y hablando lo necesario",57
3,excelsior,lupitasuarez.5353,19/05/2024,"Cómo no va a encabezar la búsqueda, si su hermana secuestradora sabe dónde dejo a todos los que secuestro, que fácil chamba se pone",28
3,excelsior,SamGarcia-jc1tw,19/05/2024,"Ninguno de los candidatos tiene una visión real de por que la violencia y la oscuridad dominan no solo México si no en todo el mundo, europa no es tan blanca como muchos imaginan, en europa secuestran niños bebes y los usan para rituales de sacrificio a dioses paganos, eso sucede en todo el mundo pero en europa y estados unidos es peor de lo que imaginan, y la realidad es que a dia de hoy hay mucha gente enferma a la que le gusta disfrutar del sufrimiento de los demas, cuando va a saber un policía que un señor celoso va a matar a su pareja por que segun anda con otro, o cuando va a saber la guardia nacional que un señor y su esposa se van a poner de acuerdo para secuestrar a una niña y que sea violada para despues asesinarla y botar sus restos a un terreno valdio, por favor hay que abrir los ojos y entender que esto va mas alla de un simple gobierno, hay una fuerza malvada que adoctrina a la humanidad entera y la hace asi a traves de control mental, musica, peliculas, libros y todo tipo de contenido que incite a la violencia hoy esta totalmente normalizado, el cambio tiene que estar en la mente de cada uno y de sus valores humanos, por que no enseñan en la escuela a respetar, a amar al projimo, a respirar bien, a valorar cada pequeño pedazo de vida que nos rodea, por que no nos enseñan que asi como existe la oscuridad existe la luz y que esa es la verdadera lucha  “Por que la lucha no es contra sangre ni carné, si no contra principados, contra potestades, contra los gobernadores de las tienieblas de este siglo y contra huestes de maldad en las regiones celestes""",10
3,excelsior,user-ed7ze1ko8k,19/05/2024,Bla bla bla.   A estas alturas.  Ya sabemos quién miente.  No somos pendejos.,545
3,excelsior,justagirlname5885,19/05/2024,"Señor maynez admiro su valentía,en decir públicamente con nombres y apellidos de estos corruptos,quiénes fueron los responsables de poner a México en la peor crisis,donde el ciudadano humilde pagó las consecuencias de sus actos..",305
3,excelsior,josemejia-zb3oz,19/05/2024,"No soy Mexicano, pero no entiendo ese debate Presidencial debido a que se salen de la tangente, Jorge sabe responder, la Sra Xochilt no tiene Etica profesional y la Sra Claudia es mas  contunjente.",53
3,excelsior,donacianojuarez7717,19/05/2024,COTCHIL GALVEZ ME GUSTARIA QUE HABLARA DE SU HERMANA QUE ESTA VACASIONANDO EN LA CARSEL ESPERO QUE HABLE PORQUE ESTA AHI  POS NO CREO SEA POR PREDICAR LA BIBLIA,44
3,excelsior,Cris27cvc,19/05/2024,Se han dado cuenta que solo maynez y claudia dan propuestas saben de códigos penales saben de artículos de la constitución planteamientos del senado etc y Xóchitl solo va a juzgar y leer lo que le escriben; y sus propuestas son soñadas. Me molesta que ni para el debate se prepare,56
3,excelsior,SolLopez.,19/05/2024,Con xochitl no hay propuestas puro atacar a claudia no sabe otra  cosa,283
3,excelsior,franciscojavier5322,19/05/2024,"Las ideas de Maines son buenas que lastima que no tenga la fuerza necesaria, piencen bien su voto, por el PRIAN ningun Voto",32
3,excelsior,osvaldogalindovalenzuela9374,19/05/2024,Y si votamos por Maynez y hacemos una remontada histórica?,23
3,excelsior,nancyroucas7207,19/05/2024,Y Xochitl porque no dices todos los desaparecidos de sexenios del pria todos tienen la cola surrada de que te admiras,303
3,excelsior,annagarcilazo2621,19/05/2024,"Xóchitl Gálvez no tiene ninguna propuesta, solo se la paso atacando a claudia",482
3,excelsior,lourdesgarcia3442,19/05/2024,"Señora Xóchitl, da pena ajena, por favor usted no representa mi México lindo",15
3,excelsior,user-lq5sn8nd1o,19/05/2024,Maynez es el único con propuestas y firmeza no se presta para atacar demuestra su inteligencia y madures.,41
3,excelsior,FabianLopez-pp4le,19/05/2024,Claudia con muy alto conocimiento en los temas maynes ha madurado demasiado en tan poco tiempo pero Xóchitl de plano no aprende nada aprendió si pero a atacar solamente sin proyecto,144
3,excelsior,zabdizone1900,19/05/2024,"Que onda con la imagen de Xochitl, ¿quien se la cuida? No hay congruencia en nada, ni en su speech ni en su imagen ni en nada, ese comentario donde mezcla la política con la religión cuando no iba ni al caso en la temática. Esa señora está perdida.",37
3,excelsior,aesthetickiutpink6060,19/05/2024,"Maynez es el único que puede hacer un cambio real, los otros partidos son la misma historia, piensen bien su voto. Quieren en verdad progresar como pais o quedar igual o peor?. Maynez es la verdadera “transformación”.",11
3,excelsior,julianvazquez8580,19/05/2024,"El debate deberia de ser para presentar los peoyectos que van a realizar, en lugar de perder el tiempo atacandose. El pueblo mexicano necesita ver los proyectos para votar por el mejor.",19
3,excelsior,rossmejia5761,19/05/2024,Creo que Maynes y Claudia deberían trabajar juntos … definitivamente Xóchitl…fueraaaaaaa!!!!,99
3,excelsior,leonardoflores7519,19/05/2024,"El PRIAN nos mando una candidata que creen que nos representa por la ""ignorancia"" pensaron que empatizamos con ella, pero la realidad es otra",185
3,excelsior,user-st9sk6cv9f,19/05/2024,"""Quien dice mentiras, de verdad se habla al espejo"" jajaja",11
3,excelsior,user-yi6uz7le5f,19/05/2024,La señora de azul lo que destila es puro odio e irrespeto .,8
3,excelsior,user-oz4pm3hc2t,19/05/2024,"No se supone que un presidente debe ser el maxino exponente de inteligencia para dirigir un país?  Jamas votaria por el prian, Xochitl da pena ajena",150
3,excelsior,hectorgallegos2094,19/05/2024,"Es descomunal el descaro de Xochitl, increíble lo que le dice a Claudia sobre que se robo una propiedad cuando esta ampliamente documentado periodisticamente el tema de la casa roja  miente con cinism, que miedo.",157
3,excelsior,ojisalazar5050,19/05/2024,Podemos apostar por EL BUEN GEORGE MAINEZ... DEMOSLE EL BENEFICIO DE LA DUDA.,25
3,excelsior,josebrambila3209,19/05/2024,"Señora xochitl, y cuando llegue a su casa,ba a poner esa cortina que trae puesta en su bentana?",5
3,excelsior,mariadelosangelesgomezsosa3144,19/05/2024,Creo qué la Xóchil no sale a la visitar las colonias (centro dé salud y otros  hospitales salen a aplicar vacunas) (sé le traba la lengua a XOCHITL) no habla sobre proyectos en beneficio del país (sé la pasa criticando a Claudia),71
3,excelsior,ma.judithbadillomota4562,19/05/2024,"Chochil ,puro agredir a Claudia ,y sus letreros obsoletos , no tiene propuestas firmes ,es más coherente Maynez que chochil , saldremos a votar por Claudia",219
3,excelsior,kmez1686,19/05/2024,"OMG soy una Nicaragüense viendo esto desde Seattle Washington y en mi humilde opinión Maynes y Claudia deberían unir fuerzas , la otra señora no me late .",2
3,excelsior,ethelbalammaldonado495,19/05/2024,Cómo van a poner dos días de descanso no todas las empresas generan lo mismo deberían hacer un estudio o como están divididas las empresas en SA de cv personas físicas pero determinar por su ingresos y los egresos que empresas si cuentan con la capacidad para sostener dos días de descanso. Porque si no los emprendedores que necesitan o que dan un para de empleos donde quedan terminanirian trabajando más el emprendedor para lograr sacar a su trabajador entonces donde la igualdad. Bueno solo es una sugerencia. Porque queda claro que existen empresas en México que sí tendrían la capacidad para dar dos días de descanso pero cuáles serían las condiciones.,6
3,excelsior,jaja123411,19/05/2024,"El día de ayer me obligaron a ir al zócalo a ""apoyar"" a xochil, soy comerciante y si no iba nos castigan sin dejarnos vender.",70
3,excelsior,LemuelSosa-es8iz,19/05/2024,"Máynez diciendo que millones de jóvenes van a escuelas privadas porque nunca hay espacio en universidades públicas, Claudia diciendo ""Voy a hacer 1 millón de casas"" cuando es verdad lo que dice Máynez, más de 14 millones de casas abandonadas... Todo eso yo lo e vivido, y al chile Máynez es quien más apegado a la realidad de México esta.",53
3,excelsior,user-ub3om7qt4g,19/05/2024,"Seamos serios , imagínate a Xóchitl en una ponencia en la ONU, mostrando cartelitos ?",7
3,excelsior,moisesbarcenas8530,19/05/2024,"El salario mínimo está bien que suba pero y no suban los impuestos, si me subes el salario pero me lo quitas con impuestos así no sirve de nada. Los tres tienen buenas propuestas e ideas pero neta para que tanto estudio si párese que las decisiones se toman a la ligera",5
3,excelsior,mabelsanchez6216,19/05/2024,Pueden hacer mil debates y sacar las concluciones que quieran pero no hay forma de que le ganen a claudia buena o mala es la realidad  mejor empiesense a preparar para atacarla como a lopez Obrador no les queda de otra no soy morenista soy realista,91
3,excelsior,lovemolang8627,19/05/2024,"De que sirve tener tantos médicos, si luego las medicinas no las venden?",1
3,excelsior,alejandrorojas758,19/05/2024,Ola saludos como pueblo le pedimos al ho a la que gana el debate que nos den el seguro popular por que avemos personas que no tenemos el alcance para una operación medicamento que se escucha mi petición bendiciones,3
3,excelsior,patriciaflorescastillejos9949,19/05/2024,"Porque dejaron a Xochitl sacar sus letreros, desde ahí se ve que es necia y terca.",253
3,excelsior,rinconesdemexicovlogs3979,19/05/2024,"Maynez estoy de acuerdo con usted, no conocía nada de usted, pero siga trabajando me encantan sus propuestas, eso que dijo que hay que apoyar a los infantes, yo votaré por usted.",57
3,excelsior,milbiaramires3807,19/05/2024,"La Señora del centro apenas tiene proyectos ,sólo sabe atacar y sacar carteles,no soy de México pero les deseo lo mejor para la nación y que las personas no tengan que salir de su Pais por malos gobernantes.",2
3,excelsior,user-yx3ho6md9n,19/05/2024,Shochil no te salgas del tema no ataques no tienes fundamentos estas mal eres la sra promesas,5
3,excelsior,maribelrl5169,19/05/2024,"A la candidata del PRI le hubiera de dar vergüenza ya que su hermana esta en la carcel por secuestradora, no México mo te dejes engañar.",79
3,excelsior,user-cs9rm8fl3o,19/05/2024,"Que argumentos tan pobres tiene la candidata del PRIAN, no le da vergüenza presentar los mismos motivos por los que la mayoría dejo de confiar en ellos después de 60 años de poder",87
3,excelsior,BalMartinez-fh4ii,19/05/2024,"Encerio? Que emoción si gana Xochitl seré rica entonces ya que disque según ella, va ver muchas programas sociales .",4
3,excelsior,AngelMartinez-nt9yu,19/05/2024,4:32 xddd,0
3,excelsior,esthergonzalez9239,19/05/2024,Soy el único niño de 11 años que se está viendo el debate por interes,41
3,excelsior,user-ii4kz6cg1v,19/05/2024,Se los quitaron porque los prianistas se quedaban con una buena parte del dinero de esas estancias.,148
3,excelsior,fernandoalverdin-gu6uu,19/05/2024,"Con todo respeto , la verdad si me preocupa quien quedé alfrente del país , solo se atacan entre ellos , en lugar de dar un buen ejemplo  para todas las personas  que los observan solo fomentan el odio y el rencor , están viendo como está el país y no se incan , ahibse ve la falta de consciencia y madures  liderazgo  no hay principios  ni valores .",4
3,excelsior,mariadejesus-pb1mp,19/05/2024,No cuentan la realidad que vive la  población  de inseguridad.,4
3,excelsior,luispaullopezrodriguez1900,19/05/2024,"1:28:25 Porque si México tiene menos estados que  USA, tiene mayor cantidad de diputados y senadores, porque seguir pagando impuestos para que se los quede toda esa gente que solo va a dormir, no puede ser posible, alguien algún día realmente se va a animar a bajar toda esta cantidad de gente que gana dinero solo por ir a dormir??",50
3,excelsior,LauraDiaz-dn9lh,19/05/2024,OMG . Xóchitl Gálvez está bien resentida con la vida! Tiene una profunda envidia hacia Claudia,179
3,excelsior,miguelolmos5278,19/05/2024,Las dos candidatas Son la misma Solo que una más revolcada que la otra,1
3,excelsior,HildaFabela-dz1yh,19/05/2024,"No creo tenga Xóchilt capacidad para controlar la delincuencia como dice,con su hermana no  la tuvo, todavía tengo la duda sino fué cómplice de la misma",2
3,excelsior,TeresaFacundoHernandez,19/05/2024,Le deve dar vergüenza a Xochitl de hablar de seguridad cuándo ella y su hermana son secuestradora x el hijo de la señora k secuestraron dice k eran gran amigas si así le hicieron a su amiga k no te haran a ti si votas x ella.,38
3,excelsior,yolandaperez-vb5es,19/05/2024,Quieran o no el gobierno actual es el único que ha logrado qué México mejore y mejorado la vida de los mexicanos aunque no lo quieran reconocer.,106
3,excelsior,DanielRivera-ie6jw,19/05/2024,?oookay?,0
3,excelsior,juanapatriciaguiterrezcerv5435,19/05/2024,Yo tengo mi madre es viuda espero q quien gane ayude a esas mujeres luchonas yvsolas y q deberás ayuden mi madre tiene 61 años y todavía le falta para q le ayuden con su pensión ojalá vean este escrito los candidatos y ayuden a esas madres q necesitan de ustedes,4
3,excelsior,alexcrown5391,19/05/2024,"Si no gana Xochitl, pasara de haber vendido gelatinas a "" vender las gelatinas"" XD",27
3,excelsior,sebastianbnks2817,19/05/2024,Votaré por Claudia pero Maynez suena muchoooo mejor que Xochitl mas congruente y contundente,241
3,excelsior,leojuarez3477,19/05/2024,Quien estaría en mi lado es un político que es onesto  y que alguna a los pobres y que ponga mucho empeño a su trabajo  que primero los ciudadanos por recibe  un salario de los mexicanos  y por los bonos que los mexicanos  regalamos a ustedes los político y que no por el dinero que ustedes políticos  maneja para los mexicanos  .,1
